coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
DYDX,DYDX/USDT:USDT,DYDXUSDT,0.17432,0.17457,0.0002500000000000002,0.14331164550431377,0.174,0.175,0.0010000000000000009,0.5730659025787972
IMX,IMX/USDT:USDT,IMXUSDT,0.23836,0.2387,0.00034000000000000696,0.1425397224667786,0.2384,0.2385,9.999999999998899e-05,0.04193751310546823
KAS,KAS/USDT:USDT,KASUSDT,0.044558,0.044609,5.100000000000243e-05,0.11439209573048871,0.04456,0.04457,9.999999999996123e-06,0.02243913384942471
SNX,SNX/USDT:USDT,SNXUSDT,0.44097,0.44141,0.00044000000000005146,0.09973027493824689,0.44,0.441,0.0010000000000000009,0.22701475595913756
CAKE,CAKE/USDT:USDT,CAKEUSDT,1.8769,1.8785,0.0016000000000000458,0.0852106300260982,1.8766,1.8768,0.00019999999999997797,0.010657004316085574
FIL,FIL/USDT:USDT,FILUSDT,1.3394,1.3405,0.001100000000000101,0.08209261539610441,1.339,1.34,0.001000000000000112,0.07465472191116923
ENS,ENS/USDT:USDT,ENSUSDT,9.7859,9.7938,0.007899999999999352,0.08069582271433529,9.785,9.786,0.0009999999999994458,0.010219201880327483
MINA,MINA/USDT:USDT,MINAUSDT,0.080776,0.080841,6.499999999999562e-05,0.0804370827326279,0.0807,0.0808,0.00010000000000000286,0.12383900928792926
RENDER,RENDER/USDT:USDT,RENDERUSDT,1.3184,1.3194,0.0009999999999998899,0.07582075972400408,1.319,1.32,0.001000000000000112,0.07578628268284289
CELO,CELO/USDT:USDT,CELOUSDT,0.12054,0.12063,9.000000000000674e-05,0.07463614877472882,0.12,0.121,0.0010000000000000009,0.8298755186721999
ORDI,ORDI/USDT:USDT,ORDIUSDT,4.265,4.2678,0.00280000000000058,0.06562910181887727,4.266,4.267,0.001000000000000334,0.02343841556311576
SUSHI,SUSHI/USDT:USDT,SUSHIUSDT,0.29989,0.30008,0.00019000000000002348,0.06333650015834909,0.2999,0.3,9.999999999998899e-05,0.033338889814965494
CFX,CFX/USDT:USDT,CFXUSDT,0.072672,0.072717,4.500000000000337e-05,0.06190289499206044,0.07267,0.07269,2.0000000000006124e-05,0.02751788662631553
W,W/USDT:USDT,WUSDT,0.03483,0.03485,1.9999999999999185e-05,0.05740528128587597,0.03482,0.03483,1.0000000000003062e-05,0.028715003589384242
STX,STX/USDT:USDT,STXUSDT,0.26457,0.26472,0.00014999999999998348,0.05667970299835005,0.2646,0.2647,9.999999999998899e-05,0.03778575477044738
COMP,COMP/USDT:USDT,COMPUSDT,26.176,26.19,0.014000000000002899,0.053469808654481525,26.17,26.18,0.00999999999999801,0.0382043935052455
SUPER,SUPER/USDT:USDT,SUPERUSDT,0.21575,0.21586,0.00010999999999999899,0.05097194226269039,0.2156,0.2157,9.999999999998899e-05,0.046371435195914204
