coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct
MINA,MINA/USDT:USDT,MINAUSDT,0.080874,0.080944,7.000000000000062e-05,0.08651695114264249,0.007313590000000001,0.0808,0.0809,0.00010000000000000286,0.1236858379715558
APE,APE/USDT:USDT,APEUSDT,0.21002,0.2102,0.00017999999999998573,0.08566941126076136,0.0006594,0.2099,0.21,9.999999999998899e-05,0.04763038818765849
ORDI,ORDI/USDT:USDT,ORDIUSDT,4.2609,4.2643,0.0034000000000000696,0.07976352460939494,0.00125,4.262,4.263,0.001000000000000334,0.023460410557192588
SNX,SNX/USDT:USDT,SNXUSDT,0.44134,0.44168,0.00034000000000000696,0.07700844827976873,-0.00947807,0.441,0.442,0.0010000000000000009,0.22650056625141582
CAKE,CAKE/USDT:USDT,CAKEUSDT,1.8768,1.878,0.0011999999999998678,0.06391818472354681,0.00125,1.877,1.8771,9.999999999998899e-05,0.0053275085906070154
IMX,IMX/USDT:USDT,IMXUSDT,0.23876,0.23891,0.00015000000000001124,0.06280486528356867,0.007832229999999999,0.2388,0.2389,9.999999999998899e-05,0.041867280720112615
AR,AR/USDT:USDT,ARUSDT,3.7151,3.7174,0.0022999999999999687,0.06189034645139505,0.00226113,3.716,3.717,0.0009999999999998899,0.026907036189960713
SAND,SAND/USDT:USDT,SANDUSDT,0.11629,0.11636,7.000000000000062e-05,0.06017623038899687,0.00125,0.11629,0.1163,9.999999999996123e-06,0.008598821961387955
SUSHI,SUSHI/USDT:USDT,SUSHIUSDT,0.29977,0.29995,0.00018000000000001348,0.06002801307277179,0.01266896,0.2998,0.2999,9.999999999998899e-05,0.03335000833749841
JTO,JTO/USDT:USDT,JTOUSDT,0.39409,0.39432,0.00023000000000000798,0.05834527720348752,0.00837974,0.3941,0.3942,9.999999999998899e-05,0.025371051630087276
CFX,CFX/USDT:USDT,CFXUSDT,0.072766,0.072808,4.200000000000037e-05,0.05770261173011716,-0.00794546,0.07278,0.07279,9.999999999996123e-06,0.013739094593660954
W,W/USDT:USDT,WUSDT,0.03486,0.03488,1.9999999999999185e-05,0.057355893318036096,0.00125,0.03486,0.03487,9.999999999996123e-06,0.028682059371851778
SUPER,SUPER/USDT:USDT,SUPERUSDT,0.21582,0.21594,0.00011999999999998123,0.05558643690938541,0.00361287,0.2157,0.2158,9.999999999998899e-05,0.04634994206256732
BSV,BSV/USDT:USDT,BSVUSDT,18.019,18.028,0.009000000000000341,0.04993480733487026,0.00083691,18.0,18.01,0.010000000000001563,0.055540127742302485
BLUR,BLUR/USDT:USDT,BLURUSDT,0.029614,0.029628,1.4000000000000123e-05,0.04726376557172318,0.0019224300000000001,0.02961,0.02962,9.999999999999593e-06,0.033766672294444
COMP,COMP/USDT:USDT,COMPUSDT,26.193,26.205,0.011999999999996902,0.04580327493414597,-0.00109602,26.18,26.19,0.010000000000001563,0.03818980332251885
STX,STX/USDT:USDT,STXUSDT,0.26492,0.26504,0.00012000000000000899,0.045286436712208084,0.00066577,0.2649,0.265,9.999999999998899e-05,0.0377429703717641
JUP,JUP/USDT:USDT,JUPUSDT,0.19889,0.19898,8.999999999997899e-05,0.045240907834206645,0.03938248,0.1989,0.199,0.00010000000000001674,0.0502638853983497
KAS,KAS/USDT:USDT,KASUSDT,0.044601,0.04462,1.8999999999998185e-05,0.04259086986247226,0.01605927,0.04461,0.04462,1.0000000000003062e-05,0.022413986327475204
