coin,pair,binance_symbol,hl_bid,hl_ask,hl_spread_abs,hl_spread_pct,hl_funding_rate,hl_maker_fee,hl_taker_fee,hl_net_profit,bz_bid,bz_ask,bz_spread_abs,bz_spread_pct,bz_maker_fee,bz_taker_fee,bz_net_profit,arbitrage_net
POL,POL/USDT:USDT,POLUSDT,0.10688,0.107,0.00011999999999999511,0.11221245558256508,0.00125,0.025,0.05,0.03721245558256507,0.10689,0.1069,9.999999999996123e-06,0.009354974507690841,0.02,0.04,0,0.01285748107487425
SNX,SNX/USDT:USDT,SNXUSDT,0.43862,0.43907,0.00045000000000000595,0.10254189975959756,-0.00947807,0.025,0.05,0.027541899759597546,0.438,0.439,0.0010000000000000009,0.22805017103762845,0.02,0.04,0.16805017103762845,0.035508271278030884
MINA,MINA/USDT:USDT,MINAUSDT,0.080464,0.080541,7.700000000000762e-05,0.09564920344089638,0.007313590000000001,0.025,0.05,0.020649203440896366,0.0805,0.0806,0.00010000000000000286,0.1241464928615802,0.02,0.04,0.0641464928615802,0
SUSHI,SUSHI/USDT:USDT,SUSHIUSDT,0.29806,0.29831,0.000250000000000028,0.08384056877442793,0.01266896,0.025,0.05,0.008840568774427918,0.2981,0.2982,0.0001000000000000445,0.03354016434682022,0.02,0.04,0,0
OM,OM/USDT:USDT,OMUSDT,0.07443,0.07449,6.0000000000004494e-05,0.08058017727639605,0.00125,0.025,0.05,0.005580177276396037,0.07445,0.07446,9.999999999996123e-06,0.013430931435089817,0.02,0.04,0,0
AR,AR/USDT:USDT,ARUSDT,3.6997,3.7025,0.0028000000000001357,0.07565318418848817,0.00226113,0.025,0.05,0.0006531841884881567,3.699,3.701,0.002000000000000224,0.05405405405406011,0.02,0.04,0,0
DYDX,DYDX/USDT:USDT,DYDXUSDT,0.17325,0.17338,0.000130000000000019,0.07500793353144217,-0.00815328,0.025,0.05,7.933531442155806e-06,0.173,0.174,0.0010000000000000009,0.5763688760806922,0.02,0.04,0.5163688760806922,0.41136094254925004
CAKE,CAKE/USDT:USDT,CAKEUSDT,1.8682,1.8695,0.0012999999999998568,0.06956149503704721,0.00125,0.025,0.05,0,1.8685,1.8687,0.00019999999999997797,0.010703200256875628,0.02,0.04,0,0
PENDLE,PENDLE/USDT:USDT,PENDLEUSDT,1.8827,1.884,0.0012999999999998568,0.06902593782355147,0.00125,0.025,0.05,0,1.8828,1.8829,9.999999999998899e-05,0.005311097538305706,0.02,0.04,0,0
RENDER,RENDER/USDT:USDT,RENDERUSDT,1.3124,1.3133,0.0008999999999999009,0.06855314773202581,0.00125,0.025,0.05,0,1.312,1.313,0.0009999999999998899,0.0761904761904678,0.02,0.04,0.016190476190467804,0
SUPER,SUPER/USDT:USDT,SUPERUSDT,0.21477,0.21491,0.00014000000000000123,0.06516477378514302,0.00361287,0.025,0.05,0,0.2146,0.2147,9.999999999998899e-05,0.04658746797111064,0.02,0.04,0,0
APE,APE/USDT:USDT,APEUSDT,0.20887,0.209,0.00012999999999999123,0.062220307751210305,0.0006594,0.025,0.05,0,0.2087,0.2088,0.00010000000000001674,0.04790419161677449,0.02,0.04,0,0
W,W/USDT:USDT,WUSDT,0.03462,0.03464,1.9999999999999185e-05,0.057753393011837094,0.00125,0.025,0.05,0,0.03461,0.03462,9.999999999996123e-06,0.02888920988009858,0.02,0.04,0,0
COMP,COMP/USDT:USDT,COMPUSDT,26.134,26.149,0.015000000000000568,0.057380027924949104,-0.00109602,0.025,0.05,0,26.13,26.14,0.010000000000001563,0.03826286588866105,0.02,0.04,0,0
STX,STX/USDT:USDT,STXUSDT,0.26301,0.26316,0.00014999999999998348,0.057015793374758525,0.00066577,0.025,0.05,0,0.263,0.2631,9.999999999998899e-05,0.038015586390415884,0.02,0.04,0,0
CRV,CRV/USDT:USDT,CRVUSDT,0.39152,0.39174,0.00021999999999999797,0.05617547174629063,-0.005235849999999999,0.025,0.05,0,0.391,0.392,0.0010000000000000009,0.2554278416347384,0.02,0.04,0.19542784163473842,0.1092523698884478
CFX,CFX/USDT:USDT,CFXUSDT,0.072334,0.072374,3.999999999999837e-05,0.055283743815128905,-0.00794546,0.025,0.05,0,0.07234,0.07235,9.999999999996123e-06,0.013822655332083936,0.02,0.04,0,0
IMX,IMX/USDT:USDT,IMXUSDT,0.23727,0.2374,0.00012999999999999123,0.05477489624370245,0.007832229999999999,0.025,0.05,0,0.2374,0.2375,9.999999999998899e-05,0.04211412929037228,0.02,0.04,0,0
SEI,SEI/USDT:USDT,SEIUSDT,0.11529,0.11535,5.9999999999990616e-05,0.05202913631632901,-0.00794903,0.025,0.05,0,0.1152,0.1153,0.00010000000000000286,0.08676789587852743,0.02,0.04,0.02676789587852743,0
SAND,SAND/USDT:USDT,SANDUSDT,0.11557,0.11563,5.9999999999990616e-05,0.0519031141868431,0.00125,0.025,0.05,0,0.11558,0.11559,9.999999999996123e-06,0.008651641648999545,0.02,0.04,0,0
ALGO,ALGO/USDT:USDT,ALGOUSDT,0.11909,0.11915,6.0000000000004494e-05,0.05036937541974856,0.00125,0.025,0.05,0,0.119,0.1191,0.00010000000000000286,0.08399832003360173,0.02,0.04,0.023998320033601736,0
